iaaf,type,notes,gender,event,meters,centimeters,,points,hours,min,sec,shundreds,name,nationality,day,month,year
post,distance,,Men,Hammer throw,64,33,,null,null,null,null,null,Mikhail Krivonosov,URS,4,8,1955
post,distance,,Men,Hammer throw,64,52,,null,null,null,null,null,Mikhail Krivonosov,URS,19,9,1955
post,distance,,Men,Hammer throw,65,85,,null,null,null,null,null,Mikhail Krivonosov,URS,25,4,1956
post,distance,,Men,Hammer throw,66,38,,null,null,null,null,null,Mikhail Krivonosov,URS,8,7,1956
post,distance,,Men,Hammer throw,67,32,,null,null,null,null,null,Mikhail Krivonosov,URS,22,10,1956
post,distance,,Men,Hammer throw,68,54,,null,null,null,null,null,Hal Connolly,USA,2,11,1956
post,distance,,Men,Hammer throw,68,68,,null,null,null,null,null,Hal Connolly,USA,20,6,1958
post,distance,,Men,Hammer throw,70,33,,null,null,null,null,null,Hal Connolly,USA,12,8,1960
post,distance,,Men,Hammer throw,70,67,,null,null,null,null,null,Hal Connolly,USA,21,7,1962
post,distance,,Men,Hammer throw,71,6,,null,null,null,null,null,Hal Connolly,USA,29,5,1965
post,distance,,Men,Hammer throw,71,26,,null,null,null,null,null,Hal Connolly,USA,20,6,1965
post,distance,,Men,Hammer throw,73,74,,null,null,null,null,null,Gyula Zsivotzky,HUN,4,9,1965
post,distance,,Men,Hammer throw,73,76,,null,null,null,null,null,Gyula Zsivotzky,HUN,14,9,1968
post,distance,,Men,Hammer throw,74,52,,null,null,null,null,null,Romuald Klim,URS,15,6,1969
post,distance,,Men,Hammer throw,74,68,,null,null,null,null,null,Anatoliy Bondarchuk,URS,20,9,1969
post,distance,,Men,Hammer throw,75,48,,null,null,null,null,null,Anatoliy Bondarchuk,URS,13,10,1969
post,distance,,Men,Hammer throw,76,40,,null,null,null,null,null,Walter Schmidt,FRG,4,9,1971
post,distance,,Men,Hammer throw,76,60,,null,null,null,null,null,Reinhard Theimer,GDR,4,7,1974
post,distance,,Men,Hammer throw,76,66,,null,null,null,null,null,Aleksey Spiridonov,URS,11,9,1974
post,distance,,Men,Hammer throw,78,50,,null,null,null,null,null,Karl-Hans Riehm,FRG,19,5,1975
post,distance,,Men,Hammer throw,79,30,,null,null,null,null,null,Walter Schmidt,FRG,14,8,1975
post,distance,,Men,Hammer throw,80,14,,null,null,null,null,null,Boris Zaychuk,URS,9,7,1978
post,distance,,Men,Hammer throw,80,32,,null,null,null,null,null,Karl-Hans Riehm,FRG,6,8,1978
post,distance,,Men,Hammer throw,80,64,,null,null,null,null,null,Yuriy Sedykh,URS,16,5,1980
post,distance,,Men,Hammer throw,81,66,,null,null,null,null,null,Sergey Litvinov,URS,24,5,1980
post,distance,,Men,Hammer throw,81,80,,null,null,null,null,null,Yuriy Sedykh,URS,31,7,1980
post,distance,,Men,Hammer throw,83,98,,null,null,null,null,null,Sergey Litvinov,URS,4,6,1982
post,distance,,Men,Hammer throw,84,14,,null,null,null,null,null,Sergey Litvinov,URS,21,6,1983
post,distance,,Men,Hammer throw,86,34,,null,null,null,null,null,Yuriy Sedykh,URS,3,7,1984
post,distance,,Men,Hammer throw,86,66,,null,null,null,null,null,Yuriy Sedykh,URS,22,6,1986
post,distance,,Men,Hammer throw,86,74,,null,null,null,null,null,Yuriy Sedykh,URS,30,8,1986
pre,distance,,Men,High jump,1,70,,null,null,null,null,null,Henry Musgrave,Great Britain & Ireland,19,4,1852
pre,distance,,Men,High jump,1,73,,null,null,null,null,null,James Methven,Great Britain & Ireland,20,8,1852
pre,distance,,Men,High jump,1,75,,null,null,null,null,null,James Methven,Great Britain & Ireland,25,7,1854
pre,distance,,Men,High jump,1,78,,null,null,null,null,null,James Methven,Great Britain & Ireland,26,8,1856
pre,distance,,Men,High jump,1,79,,null,null,null,null,null,Thomas Davin,Great Britain & Ireland,7,7,1873
pre,distance,,Men,High jump,1,80,,null,null,null,null,null,Hon. Marshall Brooks,Great Britain & Ireland,30,3,1874
pre,distance,,Men,High jump,1,83,,null,null,null,null,null,Hon. Marshall Brooks,Great Britain & Ireland,17,3,1876
pre,distance,,Men,High jump,1,89,,null,null,null,null,null,Hon. Marshall Brooks,Great Britain & Ireland,7,4,1876
pre,distance,,Men,High jump,1,90,,null,null,null,null,null,Patrick Davin,Great Britain & Ireland,5,7,1880
pre,distance,,Men,High jump,1,91,,null,null,null,null,null,William Byrd Page,USA,15,8,1887
pre,distance,,Men,High jump,1,93,,null,null,null,null,null,William Byrd Page,USA,7,10,1887
pre,distance,,Men,High jump,1,94,,null,null,null,null,null,Michael Sweeney,USA,8,10,1892
pre,distance,,Men,High jump,1,95,,null,null,null,null,null,James Ryan,Great Britain & Ireland,19,8,1895
pre,distance,,Men,High jump,1,96,,null,null,null,null,null,Michael Sweeney,USA,28,8,1895
pre,distance,,Men,High jump,1,97,,null,null,null,null,null,Michael Sweeney,USA,21,9,1895
pre,distance,,Men,High jump,1,99,,null,null,null,null,null,George Horine,USA,29,3,1912
post,distance,,Men,High jump,2,0,,null,null,null,null,null,George Horine,USA,18,5,1912
post,distance,,Men,High jump,2,1,,null,null,null,null,null,Ed Beeson,USA,2,5,1914
post,distance,,Men,High jump,2,3,,null,null,null,null,null,Harold Osborn,USA,27,5,1924
post,distance,,Men,High jump,2,4,,null,null,null,null,null,Walter Marty,USA,13,5,1933
post,distance,,Men,High jump,2,6,,null,null,null,null,null,Walter Marty,USA,28,4,1934
post,distance,,Men,High jump,2,7,,null,null,null,null,null,Cornelius Johnson,USA,12,7,1936
post,distance,,Men,High jump,2,9,,null,null,null,null,null,Mel Walker,USA,12,8,1937
post,distance,,Men,High jump,2,11,,null,null,null,null,null,Lester Steers,USA,17,6,1941
post,distance,,Men,High jump,2,12,,null,null,null,null,null,Walt Davis,USA,27,6,1953
post,distance,,Men,High jump,2,15,,null,null,null,null,null,Charley Dumas,USA,29,6,1956
post,distance,,Men,High jump,2,16,,null,null,null,null,null,Yuriy Stepanov,URS,13,7,1957
post,distance,,Men,High jump,2,17,,null,null,null,null,null,John Thomas,USA,30,4,1960
post,distance,,Men,High jump,2,18,,null,null,null,null,null,John Thomas,USA,24,6,1960
post,distance,,Men,High jump,2,22,,null,null,null,null,null,John Thomas,USA,1,7,1960
post,distance,,Men,High jump,2,23,,null,null,null,null,null,Valeriy Brumel,URS,18,6,1961
post,distance,,Men,High jump,2,24,,null,null,null,null,null,Valeriy Brumel,URS,16,7,1961
post,distance,,Men,High jump,2,25,,null,null,null,null,null,Valeriy Brumel,URS,31,8,1961
post,distance,,Men,High jump,2,26,,null,null,null,null,null,Valeriy Brumel,URS,22,7,1962
post,distance,,Men,High jump,2,27,,null,null,null,null,null,Valeriy Brumel,URS,29,9,1962
post,distance,,Men,High jump,2,28,,null,null,null,null,null,Valeriy Brumel,URS,21,7,1963
post,distance,,Men,High jump,2,29,,null,null,null,null,null,Pat Matzdorf,USA,3,7,1971
post,distance,,Men,High jump,2,30,,null,null,null,null,null,Dwight Stones,USA,11,7,1973
post,distance,,Men,High jump,2,31,,null,null,null,null,null,Dwight Stones,USA,5,6,1976
post,distance,,Men,High jump,2,32,,null,null,null,null,null,Dwight Stones,USA,4,8,1976
post,distance,,Men,High jump,2,33,,null,null,null,null,null,Volodymyr Yashchenko,URS,3,7,1977
post,distance,,Men,High jump,2,34,,null,null,null,null,null,Volodymyr Yashchenko,URS,16,6,1978
post,distance,,Men,High jump,2,35,,null,null,null,null,null,Jacek Wszola,POL,25,5,1980
post,distance,,Men,High jump,2,36,,null,null,null,null,null,Gerd Wessig,GDR,1,8,1980
post,distance,,Men,High jump,2,37,,null,null,null,null,null,Zhu Jianhua,CHN,11,6,1983
post,distance,,Men,High jump,2,38,,null,null,null,null,null,Zhu Jianhua,CHN,22,9,1983
post,distance,,Men,High jump,2,39,,null,null,null,null,null,Zhu Jianhua,CHN,10,6,1984
post,distance,,Men,High jump,2,40,,null,null,null,null,null,Rudolf Povarnitsyn,URS,11,8,1985
post,distance,,Men,High jump,2,41,,null,null,null,null,null,Igor Paklin,URS,4,9,1985
post,distance,,Men,High jump,2,42,,null,null,null,null,null,Patrik Sjoberg,Sweden,30,6,1987
post,distance,,Men,High jump,2,43,,null,null,null,null,null,Javier Sotomayor,CUB,8,9,1988
post,distance,,Men,High jump,2,44,,null,null,null,null,null,Javier Sotomayor,CUB,29,7,1989
post,distance,,Men,High jump,2,45,,null,null,null,null,null,Javier Sotomayor,CUB,27,7,1993
pre,distance,Old javelin,Men,Javelin throw,29,67,,null,null,null,null,null,Karhu,Finland,7,9,1884
pre,distance,Old javelin,Men,Javelin throw,35,81,,null,null,null,null,null,Adolf Wigert,Sweden,5,9,1886
pre,distance,Old javelin,Men,Javelin throw,37,82,,null,null,null,null,null,Hjalmar Fellman,Finland,18,5,1891
pre,distance,Old javelin,Men,Javelin throw,38,75,,null,null,null,null,null,Emil Nassling,Finland,20,9,1891
pre,distance,Old javelin,Men,Javelin throw,40,38,,null,null,null,null,null,Axel Lindblad,Sweden,22,5,1892
pre,distance,Old javelin,Men,Javelin throw,40,81,,null,null,null,null,null,Ture Orn,Sweden,17,6,1894
pre,distance,Old javelin,Men,Javelin throw,42,86,,null,null,null,null,null,Hjalmar Gorschelnik,Finland,21,6,1894
pre,distance,Old javelin,Men,Javelin throw,42,92,,null,null,null,null,null,Axel Lindblad,Sweden,19,8,1894
pre,distance,Old javelin,Men,Javelin throw,42,95,,null,null,null,null,null,Harald Andersson,Sweden,9,9,1894
pre,distance,Old javelin,Men,Javelin throw,43,60,,null,null,null,null,null,G. Gran,NOR,8,9,1895
pre,distance,Old javelin,Men,Javelin throw,45,50,,null,null,null,null,null,Valter Noren,Finland,29,9,1895
pre,distance,Old javelin,Men,Javelin throw,49,32,,null,null,null,null,null,Eric Lemming,Sweden,18,6,1899
pre,distance,Old javelin,Men,Javelin throw,50,70,,null,null,null,null,null,Hannes Kivisto,Finland,1,7,1900
pre,distance,Old javelin,Men,Javelin throw,51,95,,null,null,null,null,null,Eric Lemming,Sweden,7,9,1902
pre,distance,Old javelin,Men,Javelin throw,52,27,,null,null,null,null,null,Eric Lemming,Sweden,30,5,1903
pre,distance,Old javelin,Men,Javelin throw,53,79,,null,null,null,null,null,Eric Lemming,Sweden,31,5,1903
pre,distance,Old javelin,Men,Javelin throw,53,90,,null,null,null,null,null,Eric Lemming,Sweden,26,4,1906
pre,distance,Old javelin,Men,Javelin throw,54,15,,null,null,null,null,null,Eric Lemming,Sweden,22,9,1907
pre,distance,Old javelin,Men,Javelin throw,57,33,,null,null,null,null,null,Eric Lemming,Sweden,7,6,1908
pre,distance,Old javelin,Men,Javelin throw,58,27,,null,null,null,null,null,Eric Lemming,Sweden,10,9,1911
pre,distance,Old javelin,Men,Javelin throw,61,45,,null,null,null,null,null,Juho Saaristo,Finland,25,5,1912
post,distance,Old javelin,Men,Javelin throw,62,32,,null,null,null,null,null,Eric Lemming,Sweden,29,9,1912
post,distance,Old javelin,Men,Javelin throw,66,10,,null,null,null,null,null,Jonni Myyra,Finland,25,8,1919
post,distance,Old javelin,Men,Javelin throw,66,62,,null,null,null,null,null,Gunnar Lindstrom,Sweden,12,10,1924
post,distance,Old javelin,Men,Javelin throw,69,88,,null,null,null,null,null,Eino Penttila,Finland,8,10,1927
post,distance,Old javelin,Men,Javelin throw,71,1,,null,null,null,null,null,Erik Lundqvist,Sweden,15,8,1928
post,distance,Old javelin,Men,Javelin throw,71,57,,null,null,null,null,null,Matti Jarvinen,Finland,8,8,1930
post,distance,Old javelin,Men,Javelin throw,71,70,,null,null,null,null,null,Matti Jarvinen,Finland,17,8,1930
post,distance,Old javelin,Men,Javelin throw,71,88,,null,null,null,null,null,Matti Jarvinen,Finland,31,8,1930
post,distance,Old javelin,Men,Javelin throw,72,93,,null,null,null,null,null,Matti Jarvinen,Finland,14,9,1930
post,distance,Old javelin,Men,Javelin throw,74,2,,null,null,null,null,null,Matti Jarvinen,Finland,27,6,1932
post,distance,Old javelin,Men,Javelin throw,74,28,,null,null,null,null,null,Matti Jarvinen,Finland,25,5,1933
post,distance,Old javelin,Men,Javelin throw,74,61,,null,null,null,null,null,Matti Jarvinen,Finland,7,6,1933
post,distance,Old javelin,Men,Javelin throw,76,10,,null,null,null,null,null,Matti Jarvinen,Finland,15,6,1933
post,distance,Old javelin,Men,Javelin throw,76,66,,null,null,null,null,null,Matti Jarvinen,Finland,7,9,1934
post,distance,Old javelin,Men,Javelin throw,77,23,,null,null,null,null,null,Matti Jarvinen,Finland,18,6,1936
post,distance,Old javelin,Men,Javelin throw,77,87,,null,null,null,null,null,Yrjo Nikkanen,Finland,25,8,1938
post,distance,Old javelin,Men,Javelin throw,78,70,,null,null,null,null,null,Yrjo Nikkanen,Finland,16,10,1938
post,distance,Old javelin,Men,Javelin throw,80,41,,null,null,null,null,null,"""Bud"" Held",USA,8,8,1953
post,distance,Old javelin,Men,Javelin throw,81,75,,null,null,null,null,null,"""Bud"" Held",USA,21,5,1955
post,distance,Old javelin,Men,Javelin throw,83,56,,null,null,null,null,null,Soini Nikkinen,Finland,24,6,1956
post,distance,Old javelin,Men,Javelin throw,83,66,,null,null,null,null,null,Janusz Sidlo,POL,30,6,1956
post,distance,Old javelin,Men,Javelin throw,85,71,,null,null,null,null,null,Egil Danielsen,NOR,26,11,1956
post,distance,Old javelin,Men,Javelin throw,86,4,,null,null,null,null,null,Al Cantello,USA,5,6,1959
post,distance,Old javelin,Men,Javelin throw,86,74,,null,null,null,null,null,Carlo Lievore,ITA,1,6,1961
post,distance,Old javelin,Men,Javelin throw,87,12,,null,null,null,null,null,Terje Pedersen,NOR,1,7,1964
post,distance,Old javelin,Men,Javelin throw,91,72,,null,null,null,null,null,Terje Pedersen,NOR,2,9,1964
post,distance,Old javelin,Men,Javelin throw,91,98,,null,null,null,null,null,Janis Lusis,URS,23,6,1968
post,distance,Old javelin,Men,Javelin throw,92,70,,null,null,null,null,null,Jorma Kinnunen,Finland,18,6,1969
post,distance,Old javelin,Men,Javelin throw,93,80,,null,null,null,null,null,Janis Lusis,URS,6,7,1972
post,distance,Old javelin,Men,Javelin throw,94,8,,null,null,null,null,null,Klaus Wolfermann,FRG,5,5,1973
post,distance,Old javelin,Men,Javelin throw,94,58,,null,null,null,null,null,Miklos Nemeth,HUN,26,7,1976
post,distance,Old javelin,Men,Javelin throw,96,72,,null,null,null,null,null,Ferenc Paragi,HUN,23,4,1980
post,distance,Old javelin,Men,Javelin throw,99,72,,null,null,null,null,null,Tom Petranoff,USA,15,5,1983
post,distance,Old javelin,Men,Javelin throw,104,80,,null,null,null,null,null,Uwe Hohn,GDR,20,7,1984
post,distance,New javelin,Men,Javelin throw,85,74,,null,null,null,null,null,Klaus Tafelmeier,FRG,21,9,1986
post,distance,New javelin,Men,Javelin throw,87,66,,null,null,null,null,null,Jan Zelezny,TCH,31,5,1987
post,distance,New javelin,Men,Javelin throw,89,10,,null,null,null,null,null,Patrik Boden,Sweden,24,3,1990
post,distance,New javelin,Men,Javelin throw,89,58,,null,null,null,null,null,Steve Backley,the United Kingdom,2,7,1990
post,distance,New javelin,Men,Javelin throw,91,46,,null,null,null,null,null,Steve Backley,the United Kingdom,25,1,1992
post,distance,New javelin,Men,Javelin throw,95,54,,null,null,null,null,null,Jan Zelezny,CZE,6,4,1993
post,distance,New javelin,Men,Javelin throw,95,66,,null,null,null,null,null,Jan Zelezny,CZE,29,8,1993
post,distance,New javelin,Men,Javelin throw,98,48,,null,null,null,null,null,Jan Zelezny,CZE,25,5,1996
pre,distance,,Men,Long jump,5,94,,null,null,null,null,null,Edward Bourke,Great Britain & Ireland,17,3,1857
pre,distance,,Men,Long jump,6,38,,null,null,null,null,null,Charles Buller,Great Britain & Ireland,1,4,1863
pre,distance,,Men,Long jump,6,39,,null,null,null,null,null,Alick Tosswill,Great Britain & Ireland,14,3,1868
pre,distance,,Men,Long jump,6,50,,null,null,null,null,null,Alick Tosswill,Great Britain & Ireland,14,3,1868
pre,distance,,Men,Long jump,6,76,,null,null,null,null,null,Alick Tosswill,Great Britain & Ireland,27,2,1869
pre,distance,,Men,Long jump,6,88,,null,null,null,null,null,Jenner Davies,Great Britain & Ireland,27,3,1872
pre,distance,,Men,Long jump,6,97,,null,null,null,null,null,Jenner Davies,Great Britain & Ireland,27,3,1874
pre,distance,,Men,Long jump,7,5,,null,null,null,null,null,John Lane,Great Britain & Ireland,11,6,1874
pre,distance,,Men,Long jump,7,6,,null,null,null,null,null,Patrick Davin,Great Britain & Ireland,30,8,1883
pre,distance,,Men,Long jump,7,8,,null,null,null,null,null,Malcolm Ford,USA,14,8,1886
pre,distance,,Men,Long jump,7,9,,null,null,null,null,null,Alfred Copland,USA,11,10,1890
pre,distance,,Men,Long jump,7,18,,null,null,null,null,null,Charles Reber,USA,4,7,1891
pre,distance,,Men,Long jump,7,20,,null,null,null,null,null,Matthew Roseingrave,AUS/Great Britain & Ireland,5,10,1896
pre,distance,,Men,Long jump,7,24,,null,null,null,null,null,Meyer Prinstein,USA,11,6,1898
pre,distance,,Men,Long jump,7,33,,null,null,null,null,null,Walter Newburn,Great Britain & Ireland,16,7,1898
pre,distance,,Men,Long jump,7,40,,null,null,null,null,null,Alvin Kraenzlein,USA,29,4,1899
pre,distance,,Men,Long jump,7,43,,null,null,null,null,null,Alvin Kraenzlein,USA,26,5,1899
pre,distance,,Men,Long jump,7,50,,null,null,null,null,null,Meyer Prinstein,USA,28,4,1900
pre,distance,,Men,Long jump,7,51,,null,null,null,null,null,Peter O'Connor,Great Britain & Ireland,29,8,1900
pre,distance,,Men,Long jump,7,54,,null,null,null,null,null,Peter O'Connor,Great Britain & Ireland,27,5,1901
pre,distance,,Men,Long jump,7,60,,null,null,null,null,null,Peter O'Connor,Great Britain & Ireland,15,7,1901
post,distance,,Men,Long jump,7,61,,null,null,null,null,null,Peter O'Connor,Great Britain & Ireland,5,8,1901
post,distance,,Men,Long jump,7,69,,null,null,null,null,null,Ed Gourdin,USA,23,7,1921
post,distance,,Men,Long jump,7,76,,null,null,null,null,null,Robert LeGendre,USA,7,7,1924
post,distance,,Men,Long jump,7,89,,null,null,null,null,null,DeHart Hubbard,USA,13,6,1925
post,distance,,Men,Long jump,7,90,,null,null,null,null,null,Ed Hamm,USA,7,7,1928
post,distance,,Men,Long jump,7,93,,null,null,null,null,null,Silvio Cator,HAI,9,9,1928
post,distance,,Men,Long jump,7,98,,null,null,null,null,null,Chuhei Nambu,JPN,27,10,1931
post,distance,,Men,Long jump,8,13,,null,null,null,null,null,Jesse Owens,USA,25,5,1935
post,distance,,Men,Long jump,8,21,,null,null,null,null,null,Ralph Boston,USA,12,8,1960
post,distance,,Men,Long jump,8,24,,null,null,null,null,null,Ralph Boston,USA,27,5,1961
post,distance,,Men,Long jump,8,28,,null,null,null,null,null,Ralph Boston,USA,16,7,1961
post,distance,,Men,Long jump,8,31,,null,null,null,null,null,Igor Ter-Ovanesyan,URS,10,6,1962
post,distance,,Men,Long jump,8,34,,null,null,null,null,null,Ralph Boston,USA,12,9,1964
post,distance,,Men,Long jump,8,35,,null,null,null,null,null,Ralph Boston,USA,29,5,1965
post,distance,,Men,Long jump,8,90,,null,null,null,null,null,"""Bob"" Beamon",USA,18,10,1968
post,distance,,Men,Long jump,8,95,,null,null,null,null,null,Mike Powell,USA,30,8,1991
pre,speed,,Men,Marathon,null,null,,null,2,55,18,40,John Hayes,USA,24,7,1908
pre,speed,,Men,Marathon,null,null,,null,2,52,45,40,Robert Fowler,USA,1,1,1909
pre,speed,,Men,Marathon,null,null,,null,2,46,52,80,James Clark,USA,12,2,1909
pre,speed,,Men,Marathon,null,null,,null,2,46,4,60,Albert Raines,USA,8,5,1909
pre,speed,,Men,Marathon,null,null,,null,2,42,31,0,Henry Barrett,Great Britain & Ireland,8,5,1909
pre,speed,,Men,Marathon,null,null,,null,2,40,34,20,Thure Johansson,Sweden,31,8,1909
pre,speed,,Men,Marathon,null,null,,null,2,38,16,20,Harry Green,Great Britain & Ireland,12,5,1913
pre,speed,,Men,Marathon,null,null,,null,2,36,6,6,Alexis Ahlgren,Sweden,31,5,1913
pre,speed,,Men,Marathon,null,null,,null,2,32,35,80,"""Hannes"" Kolehmainen",Finland,22,8,1920
pre,speed,,Men,Marathon,null,null,,null,2,29,1,80,Albert Michelsen,USA,12,10,1925
pre,speed,,Men,Marathon,null,null,,null,2,27,49,0,Fusashige Suzuki,JPN,31,3,1935
pre,speed,,Men,Marathon,null,null,,null,2,26,44,0,Yasuo Ikenaka,JPN,3,4,1935
pre,speed,,Men,Marathon,null,null,,null,2,26,42,0,Kitei Son/Sohn Kee Chung,JPN/KOR,3,11,1935
pre,speed,,Men,Marathon,null,null,,null,2,25,39,0,Yun Bok Suh,KOR,19,4,1947
pre,speed,,Men,Marathon,null,null,,null,2,20,42,20,James Peters,the United Kingdom,14,6,1952
pre,speed,,Men,Marathon,null,null,,null,2,18,40,40,James Peters,the United Kingdom,13,6,1953
pre,speed,,Men,Marathon,null,null,,null,2,18,34,80,James Peters,the United Kingdom,4,10,1953
pre,speed,,Men,Marathon,null,null,,null,2,17,39,40,James Peters,the United Kingdom,26,6,1954
pre,speed,,Men,Marathon,null,null,,null,2,15,17,0,Sergey Popov,URS,24,8,1958
pre,speed,,Men,Marathon,null,null,,null,2,15,16,20,Abebe Bikila,ETH,10,9,1960
pre,speed,,Men,Marathon,null,null,,null,2,15,15,80,Toru Terasawa,JPN,17,2,1963
pre,speed,,Men,Marathon,null,null,,null,2,14,28,0,"Leonard ""Buddy"" Edelen",USA,15,6,1963
pre,speed,,Men,Marathon,null,null,,null,2,13,55,0,Basil Heatley,the United Kingdom,13,6,1964
pre,speed,,Men,Marathon,null,null,,null,2,12,11,20,Abebe Bikila,ETH,21,10,1964
pre,speed,,Men,Marathon,null,null,,null,2,12,0,0,Morio Shigematsu,JPN,12,6,1965
pre,speed,,Men,Marathon,null,null,,null,2,9,36,40,Derek Clayton,AUS,3,12,1967
pre,speed,,Men,Marathon,null,null,,null,2,8,33,60,Derek Clayton,AUS,30,5,1969
pre,speed,,Men,Marathon,null,null,,null,2,8,18,0,Robert de Castella,AUS,6,12,1981
pre,speed,,Men,Marathon,null,null,,null,2,8,5,0,Steve Jones,the United Kingdom,21,10,1984
pre,speed,,Men,Marathon,null,null,,null,2,7,12,0,Carlos Lopes,POR,20,4,1985
pre,speed,,Men,Marathon,null,null,,null,2,6,50,0,Belayneh Densimo,ETH,17,4,1988
pre,speed,,Men,Marathon,null,null,,null,2,6,5,0,Ronaldo da Costa,BRA,20,9,1998
pre,speed,,Men,Marathon,null,null,,null,2,5,42,0,Khalid Khannouchi,MAR,24,10,1999
pre,speed,,Men,Marathon,null,null,,null,2,5,38,0,Khalid Khannouchi,MAR,14,14,2002
post,speed,,Men,Marathon,null,null,,null,2,4,55,0,Paul Tergat,KEN,28,9,2003
post,speed,,Men,Marathon,null,null,,null,2,4,26,0,Haile Gebrselassie,ETH,30,9,2007
post,speed,,Men,Marathon,null,null,,null,2,3,59,0,Haile Gebrselassie,ETH,28,9,2008
post,speed,,Men,Marathon,null,null,,null,2,3,38,0,Patrick Makau Musyoki,KEN,25,9,2011
post,speed,,Men,Marathon,null,null,,null,2,3,23,0,Wilson Kipsang Kiprotich,KEN,29,9,2013
post,speed,,Men,Marathon,null,null,,null,2,2,57,0,Dennis Kipruto Kimetto,KEN,28,9,2014
pre,distance,Wood pole,Men,Pole vault,3,15,,null,null,null,null,null,Franice Temple,Great Britain & Ireland,6,10,1849
pre,distance,Wood pole,Men,Pole vault,3,25,,null,null,null,null,null,David Anderson,Great Britain & Ireland,29,7,1864
pre,distance,Wood pole,Men,Pole vault,3,23,,null,null,null,null,null,David Johnstone,Great Britain & Ireland,29,7,1864
pre,distance,Wood pole,Men,Pole vault,3,32,,null,null,null,null,null,Charles Gaskin,Great Britain & Ireland,3,7,1876
pre,distance,Wood pole,Men,Pole vault,3,38,,null,null,null,null,null,Edwin Woodburn,Great Britain & Ireland,21,7,1876
pre,distance,Wood pole,Men,Pole vault,3,42,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,9,9,1879
pre,distance,Wood pole,Men,Pole vault,3,43,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,16,7,1881
pre,distance,Wood pole,Men,Pole vault,3,46,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,12,8,1882
pre,distance,Wood pole,Men,Pole vault,3,47,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,18,8,1883
pre,distance,Wood pole,Men,Pole vault,3,48,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,20,8,1885
pre,distance,Wood pole,Men,Pole vault,3,51,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,18,8,1887
pre,distance,Wood pole,Men,Pole vault,3,52,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,19,8,1887
pre,distance,Wood pole,Men,Pole vault,3,53,,null,null,null,null,null,Ernest Stones,Great Britain & Ireland,2,6,1888
pre,distance,Wood pole,Men,Pole vault,3,56,,null,null,null,null,null,Thomas Ray,Great Britain & Ireland,22,9,1888
pre,distance,Wood pole,Men,Pole vault,3,58,,null,null,null,null,null,Richard Dickinson,Great Britain & Ireland,4,7,1891
pre,distance,Wood pole,Men,Pole vault,3,62,,null,null,null,null,null,Raymond Clapp,USA,16,6,1898
pre,distance,Bamboo pole,Men,Pole vault,3,69,,null,null,null,null,null,Norman Dole,USA,23,4,1904
pre,distance,Bamboo pole,Men,Pole vault,3,83,,null,null,null,null,null,Fernand Gonder,FRA,28,5,1905
pre,distance,Bamboo pole,Men,Pole vault,3,85,,null,null,null,null,null,Alfred Gilbert,USA,6,6,1908
pre,distance,Bamboo pole,Men,Pole vault,3,86,,null,null,null,null,null,Alfred Gilbert,USA,12,6,1908
pre,distance,Bamboo pole,Men,Pole vault,3,90,,null,null,null,null,null,Walter Dray,USA,13,6,1908
pre,distance,Bamboo pole,Men,Pole vault,3,92,,null,null,null,null,null,Leland Scott,USA,30,4,1910
pre,distance,Bamboo pole,Men,Pole vault,3,93,,null,null,null,null,null,Leland Scott,USA,27,5,1910
pre,distance,Bamboo pole,Men,Pole vault,3,99,,null,null,null,null,null,Robert Gardner,USA,1,6,1912
post,distance,Bamboo pole,Men,Pole vault,4,2,,null,null,null,null,null,Marc Wright,USA,8,6,1912
post,distance,Bamboo pole,Men,Pole vault,4,9,,null,null,null,null,null,Frank Foss,USA,20,8,1920
post,distance,Bamboo pole,Men,Pole vault,4,12,,null,null,null,null,null,Charles Hoff,NOR,3,9,1922
post,distance,Bamboo pole,Men,Pole vault,4,21,,null,null,null,null,null,Charles Hoff,NOR,22,7,1923
post,distance,Bamboo pole,Men,Pole vault,4,23,,null,null,null,null,null,Charles Hoff,NOR,13,8,1925
post,distance,Bamboo pole,Men,Pole vault,4,25,,null,null,null,null,null,Charles Hoff,NOR,27,9,1925
post,distance,Bamboo pole,Men,Pole vault,4,27,,null,null,null,null,null,Sabin Carr,USA,28,5,1927
post,distance,Bamboo pole,Men,Pole vault,4,30,,null,null,null,null,null,Lee Barnes,USA,28,4,1928
post,distance,Bamboo pole,Men,Pole vault,4,37,,null,null,null,null,null,Bill Graber,USA,16,7,1932
post,distance,Bamboo pole,Men,Pole vault,4,39,,null,null,null,null,null,Keith Brown,USA,1,6,1935
post,distance,Bamboo pole,Men,Pole vault,4,43,,null,null,null,null,null,George Varoff,USA,4,7,1936
post,distance,Bamboo pole,Men,Pole vault,4,54,,null,null,null,null,null,Bill Sefton,USA,29,5,1937
post,distance,Bamboo pole,Men,Pole vault,4,60,,null,null,null,null,null,Cornelius Warmerdam,USA,29,6,1940
post,distance,Bamboo pole,Men,Pole vault,4,72,,null,null,null,null,null,Cornelius Warmerdam,USA,6,6,1941
